Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1857-116,SCM - Textiles Machinery,drawing machine,"Model of a drawing and lapping machine (scale 1:5) patented by John George Bodmer, 1824.","drawing machine: Model of a drawing and lapping machine (scale 1:5) patented by John George Bodmer, 1824.",,,,wood; leather,overall: 190 x 740 x 225 mm,Model of a drawing and lapping machine (scale 1:5)
1857-118,SCM - Textiles Machinery,finishing machine,"Model of a machine for beetling or finishing textile fabrics (scale 1:4), patented by T. R. Bridson, 1855, and made by Ridgway, Bridson, Son and Company.","finishing machine: Model of a machine for beetling or finishing textile fabrics (scale 1:4), patented by T. R. Bridson, 1855, and made by Ridgway, Bridson, Son and Company.","Ridgway, Bridson, Son and Company",,,wood,overall: 590 x 460 x 570 mm,Model of Finishing Machine
1857-118/1,SCM - Textiles Machinery,finishing machine,"Model of a machine for beetling or finishing textile fabrics (scale 1:4), patented by T. R. Bridson, 1855, and made by Ridgway, Bridson, Son and Company.","finishing machine: Model of a machine for beetling or finishing textile fabrics (scale 1:4), patented by T. R. Bridson, 1855, and made by Ridgway, Bridson, Son and Company.","Ridgway, Bridson, Son and Company",,,,"overall: 590 mm x 460 mm x 570 mm,",Model of Finishing Machine
1857-118/2,SCM - Textiles Machinery,component,"Detached wooden component for model of a machine for beetling or finishing textile fabrics (scale 1:4). Patented by T. R. Bridson, 1855, and made by Ridgway, Bridson, Son and Company.","component: Detached wooden component for model of a machine for beetling or finishing textile fabrics (scale 1:4). Patented by T. R. Bridson, 1855, and made by Ridgway, Bridson, Son and Company.",,,,,,Wooden Component for Model of Finishing Machine
1857-290/1,SCM - Textiles Machinery,drawings,"Coloured drawing depicting Lombe's silk throwing machine, scale 1:16, made at the Science Museum, London, England, 1857.","drawings: Coloured drawing depicting Lombe's silk throwing machine, scale 1:16, made at the Science Museum, London, England, 1857.",Science Museum,"London, England, United Kingdom",1857,wood; paper; coloured print; glass,overall: 640 x 322 x 12 mm,Coloured drawing depicting Lombe's silk throwing m
1857-290/2,SCM - Textiles Machinery,drawing,"Coloured drawing depicting French hand-powered silk throwing mill, made at the Science Museum, London, England.","drawing: Coloured drawing depicting French hand-powered silk throwing mill, made at the Science Museum, London, England.",Science Museum,"London, England, United Kingdom",,paper; coloured print; polished wood; glass,overall: 275 x 315 x 10 mm,Coloured drawing depicting French hand-powered silk throwing mill
1857-308,SCM - Textiles Machinery,spinning wheel,"Three-spindle Chinese spinning wheel, unknown maker.","spinning wheel: Three-spindle Chinese spinning wheel, unknown maker.",Unknown maker,China,,wood; string; steel,overall: 760 x 500 x 1110 mm,"Three-spindle Chinese spinning wheel, unknown make"
1857-309,SCM - Textiles Machinery,spindle winding wheel,"Chinese winding wheel, unknown maker.","spindle winding wheel: Chinese winding wheel, unknown maker.",Unknown maker,China,,wood; string; cord,overall: 330 x 400 x 1000 mm,"Chinese winding wheel, unknown maker."
1858-4,SCM - Textiles Machinery,cotton spinning,"Doubling frame to spin sewing cotton from two yarns, unknown maker, 1858.","cotton spinning: Doubling frame to spin sewing cotton from two yarns, unknown maker, 1858.",Unknown maker,,1858,cast iron; steel; wrought iron; brass; glass,overall: 1428 x 670 x 1950 mm,Doubling frame to spin sewing cotton from two yarn
1858-18,SCM - Textiles Machinery,chain stitch sewing machine,"Chain stitch fixed needle sewing machine, invented by Charles Morey, 1849.","chain stitch sewing machine: Chain stitch fixed needle sewing machine, invented by Charles Morey, 1849.","Morey, Charles",,1849,wood; cast iron; brass; wrought iron,overall: 305 x 355 x 360 mm,Chain stitch fixed needle sewing machine
1858-19,SCM - Textiles Machinery,sewing machine - equipment,"Lock stitch sewing machine and separate bobbin winder, made to William Frederick Thomas's patent of 1853, by Newton Wilson and Co., 144 High Holborn, London, England, 1853.","sewing machine - equipment: Lock stitch sewing machine and separate bobbin winder, made to William Frederick Thomas's patent of 1853, by Newton Wilson and Co., 144 High Holborn, London, England, 1853.","Newton Wilson and Company; Thomas, William Frederick","Holborn, Camden, London, Greater London, England, United Kingdom",1853,cast iron; wrought iron; mahogany (wood); complete; wood (unidentified); felt (textile),"overall: 370 mm x 660 mm x 335 mm, Wt. 17.5kg",Lock-Stitch Sewing Machine.
1858-19/1,SCM - Textiles Machinery,sewing machine - equipment,"Lock stitch sewing machine, made to William Frederick Thomas's patent of 1853, by Newton Wilson and Co., 144 High Holborn, London, England, 1853.","sewing machine - equipment: Lock stitch sewing machine, made to William Frederick Thomas's patent of 1853, by Newton Wilson and Co., 144 High Holborn, London, England, 1853.","Newton, Wilson and Company; Thomas, William Frederick","Holborn, Camden, London, Greater London, England, United Kingdom",1853,cast iron; wrought iron; mahogany (wood); complete; wood (unidentified); felt (textile),"overall: 370 mm x 660 mm x 335 mm, 17.5 kg",Lock-Stitch Sewing Machine.
1858-19/2,SCM - Textiles Machinery,winding machine - thread,"Bobbin Winder for lock-stitch sewing machine, made to William Frederick Thomas's patent of 1853, by Newton Wilson and Co., 144 High Holborn, London, England, 1853.","winding machine - thread: Bobbin Winder for lock-stitch sewing machine, made to William Frederick Thomas's patent of 1853, by Newton Wilson and Co., 144 High Holborn, London, England, 1853.",,,,,,Bobbin Winder
1858-21,SCM - Textiles Machinery,cotton spinning,"Four loose-top, leather-surfaced cotton drawing rollers, patentees E. & G. P. Leigh, made by Evan Leigh and Son, Miles Platting, Manchester, England, 1856-1858, in a wooden carrying box.","cotton spinning: Four loose-top, leather-surfaced cotton drawing rollers, patentees E. & G. P. Leigh, made by Evan Leigh and Son, Miles Platting, Manchester, England, 1856-1858, in a wooden carrying box.",Evan Leigh and Son,"Miles Platting, Greater Manchester, England, United Kingdom",1856-1858,steel; steel (metal); wood; wood (unidentified); leather,box size: 290 x 130 x 50 mm,"Four loose-top, leather-surfaced cotton drawing rollers"
1860-2,SCM - Textiles Machinery,winding machines; textile machines,"Original wrap-reel or winding wheel used at Sir Richard Arkwright's mill and probably made by John Kay, Cromford, Derbyshire, England, 1769-1775.","winding machines; textile machines: Original wrap-reel or winding wheel used at Sir Richard Arkwright's mill and probably made by John Kay, Cromford, Derbyshire, England, 1769-1775.","Kay, John; Arkwright, Richard","Cromford, Derbyshire, England, United Kingdom",1769-1775,oak; brass; iron; fibre; complete,overall: 720 x 560 x 452 mm,"Arkwright's Wrap-reel Winding Wheel, English, 1769-1775"
1860-6,SCM - Textiles Machinery,spinning wheel,"Spinning Wheel believed to have belonged to Richard Arkwright (1732-1792). With engraving, by unknown maker.","spinning wheel: Spinning Wheel believed to have belonged to Richard Arkwright (1732-1792). With engraving, by unknown maker.",Unknown maker,,,,,Spinning Wheel believed to have belonged to Richard Arkwright
1860-6/1,SCM - Textiles Machinery,spinning wheel,"Spinning Wheel believed to have belonged to Sir Richard Arkwright (1732-1792), unknown maker.","spinning wheel: Spinning Wheel believed to have belonged to Sir Richard Arkwright (1732-1792), unknown maker.",Unknown maker,,,wood,overall: 1010 x 480 x 770 mm,Spinning Wheel believed to have belonged to Sir Ri
1860-6/2,SCM - Textiles Machinery,print; engraving,"Engraving of Sir Richard Arkwright (1732-1792) by Joseph Wright of Derby, England.","print; engraving: Engraving of Sir Richard Arkwright (1732-1792) by Joseph Wright of Derby, England.","Wright of Derby, Joseph","England, United Kingdom",c. 1770-1790,wood; glass,overall: 446 x 340 x 20 mm,Richard Arkwright
1860-6/3,SCM - Textiles Machinery,spinning,Distaff from the spinning wheel believed to have belonged to Sir Richard Arkwright (1732-1792).,spinning: Distaff from the spinning wheel believed to have belonged to Sir Richard Arkwright (1732-1792).,,,1750-1792,wood; glass,overall: 446 x 340 x 20 mm,Arkwright's spinning wheel distaff
1860-10,SCM - Textiles Machinery,"cloth printing machine, with accessories","Model of drugget-printing machine, with accessories, patentee Joseph Burch, England, 1843.","cloth printing machine, with accessories: Model of drugget-printing machine, with accessories, patentee Joseph Burch, England, 1843.",,"England, United Kingdom",,,,Model of drugget-printing machine
1860-10/1,SCM - Textiles Machinery,cloth printing machine,"Model of drugget-printing machine (scale 1:8), patentee Joseph Burch, England, 1843.","cloth printing machine: Model of drugget-printing machine (scale 1:8), patentee Joseph Burch, England, 1843.",,"England, United Kingdom",1843-1860,cast iron; wrought iron; brass,overall: 600 x 630 x 680 mm,"Model of drugget-printing machine (scale 1:8), pat"
1860-10/2,SCM - Textiles Machinery,Cloth printing devices,"Six drugget-printing plates, 6 loose rollers, 2 square bars of 6 weights, 3 small rollers and conveyor belting, patentee Joseph Burch, unknown maker.","Cloth printing devices: Six drugget-printing plates, 6 loose rollers, 2 square bars of 6 weights, 3 small rollers and conveyor belting, patentee Joseph Burch, unknown maker.",Unknown maker,,,steel,overall: 200 x 360 x 200 mm,"Six drugget-printing plates, 6 loose rollers, 2 sq"
1860-11,SCM - Textiles Machinery,braiding machine,"Machine for making covered or plaited twist, patentee W. H. Zahn.","braiding machine: Machine for making covered or plaited twist, patentee W. H. Zahn.",,,1855-1860,cast iron; steel; wood,overall: 1.14 x .8 x .9 m,Cord-covering machine
1860-37/1,SCM - Textiles Machinery,,,: ,,,,,,Circular knitting machine part
1860-37/2,SCM - Textiles Machinery,knitting machine,,knitting machine: ,,,,,,Circular knitting machine
1860-37/3,SCM - Textiles Machinery,,,: ,,,,,,Circular knitting machine part
1860-37/4,SCM - Textiles Machinery,,,: ,,,,,,Screws from circular knitting machine
1860-37/5,SCM - Textiles Machinery,,,: ,,,,,,Unidentified circular knitting machine parts
1860-37/6,SCM - Textiles Machinery,,,: ,,,,,,Unidentified parts from circular knitting machine
1860-38,SCM - Textiles Machinery,flat bed knitting machine,"Flat-bed knitting machine by Joseph Whitworth and Company Limited, England, 1846.","flat bed knitting machine: Flat-bed knitting machine by Joseph Whitworth and Company Limited, England, 1846.",Joseph Whitworth and Company,"England, United Kingdom",1846,cast iron; steel; wood,"overall: 270 mm x 530 mm x 250 mm,",Flat Bed Knitting Machine
1860-38/1,SCM - Textiles Machinery,flat bed knitting machine,"Flat-bed knitting machine by Joseph Whitworth and Company Limited, England, 1846.","flat bed knitting machine: Flat-bed knitting machine by Joseph Whitworth and Company Limited, England, 1846.",Joseph Whitworth and Company,"England, United Kingdom",1846,cast iron; steel; wood,"overall: 270 mm x 530 mm x 250 mm,",Flat Bed Knitting Machine
1860-38/2,SCM - Textiles Machinery,bobbin,"Bobbin for flat-bed knitting machine by Joseph Whitworth and Company Limited, England, 1846.","bobbin: Bobbin for flat-bed knitting machine by Joseph Whitworth and Company Limited, England, 1846.",,,,,,Bobbin for Flat Bed Knitting Machine
1861-34,SCM - Textiles Machinery,weft fork from a power loom,"Weft-fork for a power loom, patentee T. Sibley.","weft fork from a power loom: Weft-fork for a power loom, patentee T. Sibley.",,,,steel,,Weft fork from a power loom
1862-9,SCM - Textiles Machinery,,"Five power loom shuttles, by J. Harrison and Sons, Blackburn, Lancashire, England, 1858-1862.  These boxwood shuttles only differ from a hand loom shuttle because they do not have rollers.  Plus, the spring tongue is hinged like a pocket-knife, so that it projects out from the mortise when inserting a fresh cop of yarn.  This improvement dated from the early 19th century: allowing a cop of greater length to be used.",": Five power loom shuttles, by J. Harrison and Sons, Blackburn, Lancashire, England, 1858-1862.  These boxwood shuttles only differ from a hand loom shuttle because they do not have rollers.  Plus, the spring tongue is hinged like a pocket-knife, so that it projects out from the mortise when inserting a fresh cop of yarn.  This improvement dated from the early 19th century: allowing a cop of greater length to be used.",,,,,,"Five power loom shuttles, 1858-1862"
1862-9/1,SCM - Textiles Machinery,shuttle,"Power loom shuttle, one of five, by J. Harrison and Sons, Blackburn, Lancashire, England, 1858-1862","shuttle: Power loom shuttle, one of five, by J. Harrison and Sons, Blackburn, Lancashire, England, 1858-1862",J. Harrison and Sons,"Blackburn, Blackburn with Darwen, England, United Kingdom",1858-1862,complete; box (wood); steel (metal),overall: height = 340 x width = 90 x depth = 140 mm,"Power loom shuttle, 1858-1862"
1862-9/3,SCM - Textiles Machinery,shuttle,"Power loom shuttle, one of five, by J. Harrison and Sons, Blackburn, Lancashire, England, 1858-1862","shuttle: Power loom shuttle, one of five, by J. Harrison and Sons, Blackburn, Lancashire, England, 1858-1862",J. Harrison and Sons,"Blackburn, Blackburn with Darwen, England, United Kingdom",1858-1862,complete; box (wood); steel (metal),overall: height = 340 x width = 90 x depth = 140 mm,"Power loom shuttle, 1858-1862"
1862-9/4,SCM - Textiles Machinery,shuttle,"Power loom shuttle, one of five, by J. Harrison and Sons, Blackburn, Lancashire, England, 1858-1862","shuttle: Power loom shuttle, one of five, by J. Harrison and Sons, Blackburn, Lancashire, England, 1858-1862",J. Harrison and Sons,"Blackburn, Blackburn with Darwen, England, United Kingdom",1858-1862,complete; box (wood); steel (metal),overall: height = 340 x width = 90 x depth = 140 mm,"Power loom shuttle, 1858-1862"
1862-11,SCM - Textiles Machinery,shuttle picker,"Shuttle picker made of vulcanised rubber, the use of which was patented in 1857, unknown maker.","shuttle picker: Shuttle picker made of vulcanised rubber, the use of which was patented in 1857, unknown maker.",Unknown maker,"England, United Kingdom",1857-1862,vulcanised rubber,,Shuttle picker
1862-90,SCM - Textiles Machinery,cocoon stripping machine,"Silk cocoon stripping machine, with spare spindle, exhibited at the Great Exhibition, 1851.","cocoon stripping machine: Silk cocoon stripping machine, with spare spindle, exhibited at the Great Exhibition, 1851.",,,,object completeness recorded,,"Silk cocoon stripping machine, with spare spindle,"
1862-92,SCM - Textiles Machinery,lock stitch sewing machine,"An exact copy of the original Howe lock stitch sewing machine of 1846, patentee Elias Howe, United States.","lock stitch sewing machine: An exact copy of the original Howe lock stitch sewing machine of 1846, patentee Elias Howe, United States.",,,Original 1846,brass,overall: 220 x 200 x 208 mm,An exact copy of the original Howe lock stitch sewing machin
1865-19,SCM - Textiles Machinery,calico samples,"Two samples of calico, woven by pneumatic loom (19a, 19b), by C. W. Harrison, Manchester, England, 1865.","calico samples: Two samples of calico, woven by pneumatic loom (19a, 19b), by C. W. Harrison, Manchester, England, 1865.","Harrison, C. W.","Manchester, England, United Kingdom",1865,calico,,"Two samples of calico, woven by pneumatic loom"
1865-19/1,SCM - Textiles Machinery,fabric sample,"Sample of calico, woven by pneumatic loom (19a, 19b), by C. W. Harrison, Manchester, England, 1865","fabric sample: Sample of calico, woven by pneumatic loom (19a, 19b), by C. W. Harrison, Manchester, England, 1865",,,,,,Sample of calico
1865-19/2,SCM - Textiles Machinery,fabric sample,"Sample of calico, woven by pneumatic loom (19a, 19b), by C. W. Harrison, Manchester, England, 1865","fabric sample: Sample of calico, woven by pneumatic loom (19a, 19b), by C. W. Harrison, Manchester, England, 1865",,,,,,Sample of calico
1865-20,SCM - Textiles Machinery,calico printing rollers,"Four models of engraved rollers for calico printing, patentee J. D. Mucklow, 1857 (20a, 20b, 20c,  20d).  Mounted on board.","calico printing rollers: Four models of engraved rollers for calico printing, patentee J. D. Mucklow, 1857 (20a, 20b, 20c,  20d).  Mounted on board.",,,,iron; copper; nickel; wood,overall: 120 x 190 x 290 mm,Four models of engraved rollers for calico printin
1867-2,SCM - Textiles Machinery,lock stitch sewing machine,"Domestic lock stitch sewing machine made by the Florence Sewing Machine Company, Florence, Massachusetts, United States, 1864. Built for treadle drive but without treadle and base.","lock stitch sewing machine: Domestic lock stitch sewing machine made by the Florence Sewing Machine Company, Florence, Massachusetts, United States, 1864. Built for treadle drive but without treadle and base.",Florence Sewing Machine Company,"Florence, Massachusetts",1864,cast iron; wrought iron; steel,overall: 150 x 210 x 400 mm,Domestic lock stitch sewing machine made by the Florence Sew
1867-46,SCM - Textiles Machinery,power loom,"Model of power loom invented  by George White (scale 1:3), United Kingdom, c. 1829.","power loom: Model of power loom invented  by George White (scale 1:3), United Kingdom, c. 1829.","White, George",United Kingdom,1824-1834,wood; brass,overall: 760 x 900 x 490 mm,Model of power loom invented  by George White (sca
1867-47/1,SCM - Textiles Machinery,model,Model of a Jacquard loom,model: Model of a Jacquard loom,,,,,,Model of a Jacquard loom
1867-47/2,SCM - Textiles Machinery,model,Model of a Jacquard loom; component,model: Model of a Jacquard loom; component,,,,,,Model of a Jacquard loom; component
1867-47/3,SCM - Textiles Machinery,model,Model of a Jacquard loom,model: Model of a Jacquard loom,,,,,,Model of a Jacquard loom
1867-47/4,SCM - Textiles Machinery,model,"Model shuttle, from model Jacquard loom","model: Model shuttle, from model Jacquard loom",,,,,,Model loom shuttle
1867-48,SCM - Textiles Machinery,model hand loom,"Model hand loom for weaving sacks (and so on) without a seam (scale 1:8), invented by T. Clulow in 1802.","model hand loom: Model hand loom for weaving sacks (and so on) without a seam (scale 1:8), invented by T. Clulow in 1802.",,,prob year of patent 1802,wood,overall: 770 x 490 x 900 mm,Model hand loom for weaving sacks (and so on) without a seam
1867-49,SCM - Textiles Machinery,hand loom,"Model of a hand loom for weaving fishing nets (scale 1:4), invented J. Robertson., United Kingdom, 1806.","hand loom: Model of a hand loom for weaving fishing nets (scale 1:4), invented J. Robertson., United Kingdom, 1806.",,United Kingdom,,wood; steel,overall: 340 x 340 x 340 mm,Model of a hand loom for weaving fishing nets (sca
1868-8,SCM - Textiles Machinery,sewing machine,"Cleopatra chain-stitch domestic sewing machine made to an 1867 design, by Newton Wilson and Co., 144 High Holborn, London, England, 1868.","sewing machine: Cleopatra chain-stitch domestic sewing machine made to an 1867 design, by Newton Wilson and Co., 144 High Holborn, London, England, 1868.",Newton Wilson and Company,"Holborn, London, England, United Kingdom",1868,cast iron; steel,overall: 275 x 350 x 185 mm,Domestic Sewing Machine for chain stitich
1868-9,SCM - Textiles Machinery,sewing machine - equipment,"Dorcas lock-stitch domestic sewing machine, by Newton Wilson and Co., High Holborn, London, England, 1868","sewing machine - equipment: Dorcas lock-stitch domestic sewing machine, by Newton Wilson and Co., High Holborn, London, England, 1868",Newton Wilson and Company,,1868,"cast iron; steel (metal); brass (copper, zinc alloy); cotton (fibre); mahogany (wood); ivory; wood (unidentified)",overall: 260 x 300 x 155 mm,Dorcas lock-stitch domestic sewing machine
1868-10,SCM - Textiles Machinery,sewing machine - equipment,"Lock-stitch treadle sewing machine of the Wheeler Wilson type, by Newton Wilson and Co., High Holborn, London, England, 1861-1868.","sewing machine - equipment: Lock-stitch treadle sewing machine of the Wheeler Wilson type, by Newton Wilson and Co., High Holborn, London, England, 1861-1868.",Newton Wilson and Company,,1861-1868,incomplete; cast iron; steel (metal); paint,overall: 170 x 310 x 240 mm,Lock-stitch treadle sewing machine
1868-11,SCM - Textiles Machinery,sewing machine - equipment,"Warwick lock-stitch treadle sewing machine, by Newton Wilson and Co., High Holborn, London, England, 1868.","sewing machine - equipment: Warwick lock-stitch treadle sewing machine, by Newton Wilson and Co., High Holborn, London, England, 1868.",Newton Wilson and Company,,1868,"complete; cast iron; cast iron; steel (metal); case hardened iron; brass (copper, zinc alloy); paint",overall: 340 x 360 x 190 mm,Warwick lock-stitch treadle sewing machine
1868-12,SCM - Textiles Machinery,chain stitch sewing machine,"Double thread chain-stitch treadle sewing machine, top only.  From the shape and style of design it was probably made by Grover and Baker, Boston, Massachusetts, United States, c. 1855.","chain stitch sewing machine: Double thread chain-stitch treadle sewing machine, top only.  From the shape and style of design it was probably made by Grover and Baker, Boston, Massachusetts, United States, c. 1855.",Grover and Baker,"Boston, Massachusetts, United States",1853-1858,cast iron; steel,overall: 210 x 350 x 205 mm,Double thread chain-stitch treadle sewing machine
1868-13,SCM - Textiles Machinery,sewing machine - equipment,"Head of a treadle, button-hole sewing machine, no. 1342, by the American Button-Hole, Overseaming and Sewing Machine Co., Philadelphia, United States, 1868.  There is a needle and swinging hook both above and below the table.  This means that the machine is two chain-stitch machines combined, enabling it to sew around a button-hole.","sewing machine - equipment: Head of a treadle, button-hole sewing machine, no. 1342, by the American Button-Hole, Overseaming and Sewing Machine Co., Philadelphia, United States, 1868.  There is a needle and swinging hook both above and below the table.  This means that the machine is two chain-stitch machines combined, enabling it to sew around a button-hole.",,"Philadelphia, Pennsylvania, United States",1868,complete; cast iron; cast iron; steel (metal); paint,overall: 335 x 385 x 227 mm,"Sewing machine, head of a treadle, button-hole type"
TEMP0001869,SCM - Textiles Machinery,,Demonstration apparatus showing cotton spinning bobbin and flyer.,: Demonstration apparatus showing cotton spinning bobbin and flyer.,,,,wood (unidentified),,Bobbin and Flyer demonstration apparatus
1869-77,SCM - Textiles Machinery,power loom,"Model of power loom with double shuttle box (scale 1:2), maker unknown, 1840.","power loom: Model of power loom with double shuttle box (scale 1:2), maker unknown, 1840.",Unknown maker,,1840,cast iron; wood; steel,overall: 655 x 910 x 590 mm,Model of power loom with double shuttle box (scale
1871-24,SCM - Textiles Machinery,sewing; portrait bust,"Head of a Howe lock stitch sewing machine by the Howe Manufacturing Co., United States, dated 1871 and a Bust of Elias Howe.","sewing; portrait bust: Head of a Howe lock stitch sewing machine by the Howe Manufacturing Co., United States, dated 1871 and a Bust of Elias Howe.",Howe Manufacturing Co. (maker),United States,1871,,,lock stitch sewing machine
1871-24/1,SCM - Textiles Machinery,lock stitch sewing machine,"Lockstitch sewing machine head of a Howe treadle driven machine, by the Howe Manufacturing Company, New York, United States, dated 1871.","lock stitch sewing machine: Lockstitch sewing machine head of a Howe treadle driven machine, by the Howe Manufacturing Company, New York, United States, dated 1871.",Howe Manufacturing Company,"New York, United States",1871,cast iron; mother of pearl; forged iron; machined cast iron,overall: 300 x 193 x 320 mm,Lockstitch sewing machine head of a Howe treadle driven mach
1871-24/2,SCM - Textiles Machinery,portrait bust; cast,"Plaster Bust of Elias Howe, maker unknown, United States, 1850-1867.","portrait bust; cast: Plaster Bust of Elias Howe, maker unknown, United States, 1850-1867.",Unknown maker,United States,1850-1867,plaster of paris,overall: 660 x 1470 x 330 mm,Portrait bust of Elias Howe
1871-31,SCM - Textiles Machinery,,"Model mule headstock (scale 1:4), patentee J. Potter.",": Model mule headstock (scale 1:4), patentee J. Potter.",,,,,,"Model mule headstock (scale 1:4), patentee J. Potter"
1871-31/1,SCM - Textiles Machinery,,,: ,,,,,,Model mule headstock (scale 1:4)
1871-31/2,SCM - Textiles Machinery,,,: ,,,,,,Model mule headstock;component
1871-31/3,SCM - Textiles Machinery,,,: ,,,,,,Model mule headstock;component
1871-31/4,SCM - Textiles Machinery,,,: ,,,,,,Model mule headstock;component
1871-31/5,SCM - Textiles Machinery,,,: ,,,,,,Model mule headstock;component
1871-31/6,SCM - Textiles Machinery,,,: ,,,,,,Model mule headstock;component
1871-31/7,SCM - Textiles Machinery,,,: ,,,,,,Model mule headstock;components
1871-32,SCM - Textiles Machinery,carding engine,"Original self stripping carding engine, invented and made by Archibald Buchanan, Catrine, Ayrshire, Scotland, Patent no. 4875, 1823.","carding engine: Original self stripping carding engine, invented and made by Archibald Buchanan, Catrine, Ayrshire, Scotland, Patent no. 4875, 1823.","Buchanan, Archibald","Catrine, East Ayrshire, Scotland, United Kingdom",1823-1870,cast iron; steel; wrought iron,"overall: 1570 mm x 1300 mm x 2060 mm, 768 kg",Self Stripping Carding Engine by Archibald Buchanan
1873-29,SCM - Textiles Machinery,textiles machine,"Model of silk doubling machine, designed and patented by Thomas Dickins, Manchester, 1873. Patent no. 1763.","textiles machine: Model of silk doubling machine, designed and patented by Thomas Dickins, Manchester, 1873. Patent no. 1763.","Dickins, T.",Manchester,1873,,,Model of silk doubling machine
1874-148,SCM - Textiles Machinery,rope making machine,"Model of strand making machine for cotton rope with 49 reel frame, unknown maker.","rope making machine: Model of strand making machine for cotton rope with 49 reel frame, unknown maker.",Unknown maker,,,wood; brass,overall: 430 x 1220 x 600 mm,Model of strand making machine for cotton rope wit
1875-41,SCM - Textiles Machinery,textile printing blocks,"23 wood blocks for printing chintz and calico with English designs typical of the period, by unknown maker, England, 1750-1830. Each block consists of a mahogany or oak base with a thin face of more expensive boxwood. The pattern is drawn on reverse on the boxwood and then cut. By about 1900 block printing had largely been superceded by rotary printing.","textile printing blocks: 23 wood blocks for printing chintz and calico with English designs typical of the period, by unknown maker, England, 1750-1830. Each block consists of a mahogany or oak base with a thin face of more expensive boxwood. The pattern is drawn on reverse on the boxwood and then cut. By about 1900 block printing had largely been superceded by rotary printing.",Unknown maker,"England, United Kingdom",1750-1830,oak; boxwood; metal,overall: .3 x 1 x .6 m,Wood blocks for printing English chintz and calico designs
1875-41/1,SCM - Textiles Machinery,textile printing block,"A textile printing block for printing borders, brass printing face, ornate flower design probably for a shawl, England, 1750-1830.","textile printing block: A textile printing block for printing borders, brass printing face, ornate flower design probably for a shawl, England, 1750-1830.",,"England, United Kingdom",1750-1830,,"overall: 55 mm x 220 mm x 180 mm,","A textile printing block for printing borders, bra"
